[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Velocity [ m s^-1 ]
9.90391523e-02, 7.36856100e-06
9.93794948e-02, 7.56294776e-06
9.97198373e-02, 7.75873559e-06
1.00060180e-01, 7.95582037e-06
1.00400522e-01, 8.10747679e-06
1.00740865e-01, 8.23095615e-06
1.01081207e-01, 8.35605351e-06
1.01421550e-01, 8.47645697e-06
1.01761892e-01, 8.44123770e-06
1.02102235e-01, 8.40685243e-06
1.02442577e-01, 8.37330936e-06
1.02782920e-01, 8.34061848e-06
1.03123263e-01, 8.30878980e-06
1.03463605e-01, 8.18041735e-06
1.03803948e-01, 8.00949601e-06
1.04144290e-01, 7.84097756e-06
1.04484633e-01, 7.67502388e-06
1.04824975e-01, 7.44744784e-06
1.05165318e-01, 7.16104705e-06
1.05505660e-01, 6.87514103e-06
1.05846003e-01, 6.59024363e-06
1.06186345e-01, 6.30508839e-06
1.06526688e-01, 6.02110958e-06
1.06867030e-01, 5.73796433e-06
1.07207373e-01, 5.45578314e-06
1.07547715e-01, 5.13050873e-06
1.07888058e-01, 4.72697138e-06
1.08228400e-01, 4.32695651e-06
1.08568743e-01, 3.93153823e-06
1.08909085e-01, 3.41676287e-06
1.09249428e-01, 2.85439228e-06
1.09589770e-01, 2.29242210e-06
1.09930113e-01, 1.73124124e-06
1.10270455e-01, 1.17198579e-06
1.10610798e-01, 6.14457178e-07
1.10951141e-01, 1.71243229e-07
1.11291483e-01, 5.55656470e-07
1.11631826e-01, 1.10568953e-06
1.11972168e-01, 1.66454470e-06
1.12312511e-01, 2.22558674e-06
1.12652853e-01, 2.82236920e-06
1.12993196e-01, 3.48243088e-06
1.13333538e-01, 4.21914865e-06
1.13673881e-01, 5.21940729e-06
1.14014223e-01, 6.28122370e-06
1.14354566e-01, 7.34321384e-06
1.14694908e-01, 8.40531538e-06
1.15035251e-01, 9.46748787e-06
1.15375593e-01, 1.05297131e-05
1.15715936e-01, 1.15919747e-05
1.16056278e-01, 1.26542654e-05
1.16396621e-01, 1.37165771e-05
1.16736963e-01, 1.47789133e-05
1.17077306e-01, 1.58412622e-05
1.17417648e-01, 1.69036175e-05
1.17757991e-01, 1.79659764e-05
1.18098333e-01, 1.90283481e-05
1.18438676e-01, 2.00907216e-05
1.18779019e-01, 2.10344024e-05
1.19119361e-01, 2.18070836e-05
1.19459704e-01, 2.25798358e-05
1.19800046e-01, 2.33526498e-05
1.20140389e-01, 2.41255275e-05
1.20480731e-01, 2.48984597e-05
1.20821074e-01, 2.56714393e-05
1.21161416e-01, 2.64444679e-05
1.21501759e-01, 2.72175330e-05
1.21842101e-01, 2.79906326e-05
1.22182444e-01, 2.87637722e-05
1.22522786e-01, 2.95457739e-05
1.22863129e-01, 3.07412374e-05
1.23203471e-01, 3.19367718e-05
1.23543814e-01, 3.31323899e-05
1.23884156e-01, 3.43280699e-05
1.24224499e-01, 3.55238080e-05
1.24564841e-01, 3.67196044e-05
1.24905184e-01, 3.79154371e-05
1.25245526e-01, 3.91113208e-05
1.25585869e-01, 4.03072263e-05
1.25926211e-01, 4.12729059e-05
1.26266554e-01, 4.21572040e-05
1.26606897e-01, 4.30414948e-05
1.26947239e-01, 4.39257965e-05
1.27287582e-01, 4.48100873e-05
1.27627924e-01, 4.56943926e-05
1.27968267e-01, 4.65787016e-05
1.28308609e-01, 4.74630069e-05
1.28648952e-01, 4.83473050e-05
1.28989294e-01, 4.92316140e-05
1.29329637e-01, 5.01003306e-05
1.29669979e-01, 5.10002283e-05
1.30010322e-01, 5.18845191e-05
1.30350664e-01, 5.27688208e-05
1.30691007e-01, 5.36531188e-05
1.31031349e-01, 5.45374241e-05
1.31371692e-01, 5.54217222e-05
1.31712034e-01, 5.63060203e-05
1.32052377e-01, 5.71903220e-05
1.32392719e-01, 5.80746237e-05
1.32733062e-01, 5.89589290e-05
1.33073404e-01, 5.98432307e-05
1.33413747e-01, 6.07275324e-05
1.33754089e-01, 6.17394908e-05
1.34094432e-01, 6.29100105e-05
1.34434775e-01, 6.39313148e-05
1.34775117e-01, 6.49526191e-05
1.35115460e-01, 6.59869256e-05
1.35455802e-01, 6.71158923e-05
1.35796145e-01, 6.82448444e-05
1.36136487e-01, 6.93738111e-05
1.36476830e-01, 7.05027705e-05
1.36817172e-01, 7.16317300e-05
1.37157515e-01, 7.27606894e-05
1.37497857e-01, 7.38896342e-05
1.37838200e-01, 7.50185936e-05
1.38178542e-01, 7.61475458e-05
1.38518885e-01, 7.72765197e-05
1.38859227e-01, 7.84054646e-05
1.39199570e-01, 7.95344313e-05
1.39539912e-01, 8.06633907e-05
1.39880255e-01, 8.17923574e-05
1.40220597e-01, 8.29213095e-05
1.40560940e-01, 8.40502689e-05
1.40901282e-01, 8.51792356e-05
1.41241625e-01, 8.63082023e-05
1.41581967e-01, 8.74371544e-05
1.41922310e-01, 8.85661138e-05
1.42262653e-01, 8.96950805e-05
1.42602995e-01, 9.08240399e-05
1.42943338e-01, 9.19529848e-05
1.43283680e-01, 9.30819588e-05
1.43624023e-01, 9.42108891e-05
1.43964365e-01, 9.53398630e-05
1.44304708e-01, 9.64688224e-05
1.44645050e-01, 9.78828975e-05
1.44985393e-01, 9.93429348e-05
1.45325735e-01, 1.00768368e-04
1.45666078e-01, 1.01444930e-04
1.46006420e-01, 1.02121485e-04
1.46346763e-01, 1.02798062e-04
1.46687105e-01, 1.03474646e-04
1.47027448e-01, 1.04151201e-04
1.47367790e-01, 1.05022744e-04
1.47708133e-01, 1.06095635e-04
1.48048475e-01, 1.07168540e-04
1.48388818e-01, 1.08241438e-04
1.48729160e-01, 1.09314351e-04
1.49069503e-01, 1.10387249e-04
1.49409845e-01, 1.11460155e-04
1.49750188e-01, 1.12533060e-04
1.50090531e-01, 1.13605958e-04
1.50430873e-01, 1.14678871e-04
1.50771216e-01, 1.15751784e-04
1.51111558e-01, 1.16824689e-04
1.51451901e-01, 1.17897609e-04
1.51792243e-01, 1.18970544e-04
1.52132586e-01, 1.20043456e-04
1.52472928e-01, 1.21116369e-04
1.52813271e-01, 1.22189304e-04
1.53153613e-01, 1.23262202e-04
1.53493956e-01, 1.24335143e-04
1.53834298e-01, 1.25408056e-04
1.54174641e-01, 1.26480969e-04
1.54514983e-01, 1.27553925e-04
1.54855326e-01, 1.28626838e-04
1.55195668e-01, 1.29699780e-04
1.55536011e-01, 1.30772722e-04
1.55876353e-01, 1.31506240e-04
1.56216696e-01, 1.32217901e-04
1.56557038e-01, 1.32929577e-04
1.56897381e-01, 1.33641239e-04
1.57237723e-01, 1.34352944e-04
1.57578066e-01, 1.35064605e-04
1.57918409e-01, 1.35776296e-04
1.58258751e-01, 1.36487972e-04
1.58599094e-01, 1.37199677e-04
1.58939436e-01, 1.37911382e-04
1.59279779e-01, 1.38623072e-04
1.59620121e-01, 1.39334763e-04
1.59960464e-01, 1.40046453e-04
1.60300806e-01, 1.40758159e-04
1.60641149e-01, 1.41469864e-04
1.60981491e-01, 1.42181554e-04
1.61321834e-01, 1.42995574e-04
1.61662176e-01, 1.43950980e-04
1.62002519e-01, 1.44906429e-04
1.62342861e-01, 1.45861908e-04
1.62683204e-01, 1.46817431e-04
1.63023546e-01, 1.47772967e-04
1.63363889e-01, 1.48728534e-04
1.63704231e-01, 1.49684172e-04
1.64044574e-01, 1.50639840e-04
1.64384916e-01, 1.51595479e-04
1.64725259e-01, 1.52551191e-04
1.65065601e-01, 1.53293615e-04
1.65405944e-01, 1.53842848e-04
1.65746287e-01, 1.54392110e-04
1.66086629e-01, 1.54941372e-04
1.66426972e-01, 1.55490663e-04
1.66767314e-01, 1.56039969e-04
1.67107657e-01, 1.56589318e-04
1.67447999e-01, 1.57138682e-04
1.67788342e-01, 1.57688104e-04
1.68128684e-01, 1.58237468e-04
1.68469027e-01, 1.58786890e-04
1.68809369e-01, 1.59336356e-04
1.69149712e-01, 1.59885836e-04
1.69490054e-01, 1.60435317e-04
1.69830397e-01, 1.60984840e-04
1.70170739e-01, 1.61534350e-04
1.70511082e-01, 1.62158467e-04
1.70851424e-01, 1.62974058e-04
1.71191767e-01, 1.63789708e-04
1.71532109e-01, 1.64605328e-04
1.71872452e-01, 1.65421021e-04
1.72212794e-01, 1.66236729e-04
1.72553137e-01, 1.67052451e-04
1.72893479e-01, 1.67868202e-04
1.73233822e-01, 1.68683997e-04
1.73574165e-01, 1.69388150e-04
1.73914507e-01, 1.70083047e-04
1.74254850e-01, 1.70777945e-04
1.74595192e-01, 1.71472842e-04
1.74935535e-01, 1.72167740e-04
1.75275877e-01, 1.72862638e-04
1.75616220e-01, 1.73557550e-04
1.75956562e-01, 1.74252447e-04
1.76296905e-01, 1.74947359e-04
1.76637247e-01, 1.75642243e-04
1.76977590e-01, 1.76337169e-04
1.77317932e-01, 1.77032052e-04
1.77658275e-01, 1.77726994e-04
1.77998617e-01, 1.78421877e-04
1.78338960e-01, 1.79116803e-04
1.78679302e-01, 1.79811701e-04
