[Name]
Series 1 at /LINE:Line 1

[Data]
X [ m ],Velocity [ m s^-1 ]
2.31772736e-01, 2.41924223e-04
2.32113078e-01, 2.42034861e-04
2.32453421e-01, 2.42145499e-04
2.32793763e-01, 2.42256167e-04
2.33134106e-01, 2.42366790e-04
2.33474448e-01, 2.42477414e-04
2.33814791e-01, 2.42588038e-04
2.34155133e-01, 2.42698661e-04
2.34495476e-01, 2.42809299e-04
2.34835818e-01, 2.42919938e-04
2.35176161e-01, 2.43030605e-04
2.35516503e-01, 2.43141243e-04
2.35856846e-01, 2.43251896e-04
2.36197188e-01, 2.43362520e-04
2.36537531e-01, 2.43473172e-04
2.36877874e-01, 2.43583825e-04
2.37218216e-01, 2.43694463e-04
2.37558559e-01, 2.43805087e-04
2.37898901e-01, 2.43915769e-04
2.38239244e-01, 2.44026407e-04
2.38579586e-01, 2.44137031e-04
2.38919929e-01, 2.44247698e-04
2.39260271e-01, 2.44358322e-04
2.39600614e-01, 2.44469004e-04
2.39940956e-01, 2.44579656e-04
2.40281299e-01, 2.44690338e-04
2.40621641e-01, 2.44800962e-04
2.40961984e-01, 2.44911615e-04
2.41302326e-01, 2.45022238e-04
2.41642669e-01, 2.45132949e-04
2.41983011e-01, 2.45243602e-04
2.42323354e-01, 2.45354226e-04
2.42663696e-01, 2.45464878e-04
2.43004039e-01, 2.45575560e-04
2.43344381e-01, 2.45686213e-04
2.43684724e-01, 2.45796895e-04
2.44025066e-01, 2.45907548e-04
2.44365409e-01, 2.46018200e-04
2.44705752e-01, 2.46128853e-04
2.45046094e-01, 2.46239506e-04
2.45386437e-01, 2.46343581e-04
2.45726779e-01, 2.46446929e-04
2.46067122e-01, 2.46550306e-04
2.46407464e-01, 2.46653653e-04
2.46747807e-01, 2.46756972e-04
2.47088149e-01, 2.46860349e-04
2.47428492e-01, 2.46963755e-04
2.47768834e-01, 2.47067102e-04
2.48109177e-01, 2.47170479e-04
2.48449519e-01, 2.47273798e-04
2.48789862e-01, 2.47377204e-04
2.49130204e-01, 2.47480551e-04
2.49470547e-01, 2.47583928e-04
2.49810889e-01, 2.47687276e-04
2.50151217e-01, 2.47790653e-04
2.50491560e-01, 2.47894059e-04
2.50831902e-01, 2.47997406e-04
2.51172245e-01, 2.48100783e-04
2.51512587e-01, 2.48204189e-04
2.51852930e-01, 2.48307566e-04
2.52193272e-01, 2.48410943e-04
2.52533615e-01, 2.48514290e-04
2.52873957e-01, 2.48617696e-04
2.53214300e-01, 2.48721044e-04
2.53554642e-01, 2.48824479e-04
2.53894985e-01, 2.48927856e-04
2.54235327e-01, 2.49031233e-04
2.54575670e-01, 2.49134639e-04
2.54916012e-01, 2.49238044e-04
2.55256355e-01, 2.49341392e-04
2.55596697e-01, 2.49444856e-04
2.55937040e-01, 2.49548175e-04
2.56277382e-01, 2.49651581e-04
